dataset;method;cls;nr_events;metric;score;nr_cases
production;single_laststate;xgb;1;mae;1529691.1083333334;45
production;single_laststate;xgb;2;mae;1434193.0726376488;42
production;single_laststate;xgb;3;mae;1488601.8638980263;38
production;single_laststate;xgb;4;mae;1510187.3651785713;35
production;single_laststate;xgb;5;mae;1430693.8275862068;29
production;single_laststate;xgb;6;mae;1399133.3973214286;28
production;single_laststate;xgb;7;mae;1309389.2486979167;24
production;single_laststate;xgb;8;mae;1452041.5085227273;22
production;single_laststate;xgb;9;mae;1390022.2861842106;19
production;single_laststate;xgb;10;mae;1408607.1052083333;15
production;single_laststate;xgb;11;mae;1415679.0745192308;13
production;single_laststate;xgb;12;mae;1330094.3111979167;12
production;single_laststate;xgb;13;mae;1514764.6619318181;11
production;single_laststate;xgb;14;mae;1666938.68125;10
production;single_laststate;xgb;15;mae;1520573.94921875;9
production;single_laststate;xgb;16;mae;1842451.0714285714;7
production;single_laststate;xgb;17;mae;2103910.8932291665;6
production;single_laststate;xgb;18;mae;2511578.946875;5
production;single_laststate;xgb;19;mae;2986261.5;4
production;single_laststate;xgb;20;mae;2800514.8333333335;3
