dataset;method;cls;nr_events;metric;score;nr_cases
production_feature;single_laststate;xgb;1;mae;1523682.3111111112;45
production_feature;single_laststate;xgb;2;mae;1415157.0913318451;42
production_feature;single_laststate;xgb;3;mae;1488679.9792351974;38
production_feature;single_laststate;xgb;4;mae;1512976.388888889;36
production_feature;single_laststate;xgb;5;mae;1369663.5520833333;30
production_feature;single_laststate;xgb;6;mae;1312215.1291666667;30
production_feature;single_laststate;xgb;7;mae;1231388.9210069445;27
production_feature;single_laststate;xgb;8;mae;1359735.7333984375;24
production_feature;single_laststate;xgb;9;mae;1228360.7762784092;22
production_feature;single_laststate;xgb;10;mae;1289877.9457236843;19
production_feature;single_laststate;xgb;11;mae;1388905.4889705882;17
production_feature;single_laststate;xgb;12;mae;1374775.006138393;14
production_feature;single_laststate;xgb;13;mae;1477136.4134615385;13
production_feature;single_laststate;xgb;14;mae;1669300.4119318181;11
production_feature;single_laststate;xgb;15;mae;1587915.56875;10
production_feature;single_laststate;xgb;16;mae;1698429.849826389;9
production_feature;single_laststate;xgb;17;mae;2121754.113839286;7
production_feature;single_laststate;xgb;18;mae;2440807.36328125;6
production_feature;single_laststate;xgb;19;mae;2414954.0755208335;6
production_feature;single_laststate;xgb;20;mae;2223662.834375;5
