dataset;method;cls;nr_events;metric;score;nr_cases
production;state_agg;xgb;1;mae;1762296.084027778;45
production;state_agg;xgb;2;mae;1750104.5848214286;42
production;state_agg;xgb;3;mae;1869345.6064967106;38
production;state_agg;xgb;4;mae;1710744.344642857;35
production;state_agg;xgb;5;mae;1442051.9105603448;29
production;state_agg;xgb;6;mae;1384869.677455357;28
production;state_agg;xgb;7;mae;1313296.2655639648;24
production;state_agg;xgb;8;mae;1347166.7565696023;22
production;state_agg;xgb;9;mae;1408673.3704769737;19
production;state_agg;xgb;10;mae;1397273.6754231772;15
production;state_agg;xgb;11;mae;1614469.2745736928;13
production;state_agg;xgb;12;mae;1411798.1393229167;12
production;state_agg;xgb;13;mae;1670546.4311079546;11
production;state_agg;xgb;14;mae;1702811.75546875;10
production;state_agg;xgb;15;mae;1482822.693142361;9
production;state_agg;xgb;16;mae;1903117.6997767857;7
production;state_agg;xgb;17;mae;1989735.4954427083;6
production;state_agg;xgb;18;mae;2443885.1984375;5
production;state_agg;xgb;19;mae;2660861.2265625;4
production;state_agg;xgb;20;mae;2313716.3229166665;3
