dataset;method;cls;nr_events;metric;score;nr_cases
production_feature;state_agg;xgb;1;mae;1808492.2708333333;45
production_feature;state_agg;xgb;2;mae;1754244.7410714286;42
production_feature;state_agg;xgb;3;mae;1803671.5342310856;38
production_feature;state_agg;xgb;4;mae;1793572.8246527778;36
production_feature;state_agg;xgb;5;mae;1413497.3083333333;30
production_feature;state_agg;xgb;6;mae;1437576.4635416667;30
production_feature;state_agg;xgb;7;mae;1426183.905436198;27
production_feature;state_agg;xgb;8;mae;1405938.0587565105;24
production_feature;state_agg;xgb;9;mae;1358650.5880459873;22
production_feature;state_agg;xgb;10;mae;1416286.189478824;19
production_feature;state_agg;xgb;11;mae;1600462.9673713236;17
production_feature;state_agg;xgb;12;mae;1526812.08203125;14
production_feature;state_agg;xgb;13;mae;1878689.5588942308;13
production_feature;state_agg;xgb;14;mae;1841052.125;11
production_feature;state_agg;xgb;15;mae;1341034.998046875;10
production_feature;state_agg;xgb;16;mae;1546575.1206597222;9
production_feature;state_agg;xgb;17;mae;1830615.927455357;7
production_feature;state_agg;xgb;18;mae;2195876.1041666665;6
production_feature;state_agg;xgb;19;mae;2131734.7291666665;6
production_feature;state_agg;xgb;20;mae;1763844.246875;5
