dataset;method;cls;nr_events;metric;score;nr_cases
production;state_index;xgb;1;mae;1785495.8815972223;45
production;state_index;xgb;2;mae;1774310.364955357;42
production;state_index;xgb;3;mae;1799664.0407072369;38
production;state_index;xgb;4;mae;1703447.9178571429;35
production;state_index;xgb;5;mae;1474004.2629310344;29
production;state_index;xgb;6;mae;1527547.3247767857;28
production;state_index;xgb;7;mae;1368403.2425944011;24
production;state_index;xgb;8;mae;1419616.4715909092;22
production;state_index;xgb;9;mae;1357994.2509251644;19
production;state_index;xgb;10;mae;1481579.8333333333;15
production;state_index;xgb;11;mae;1490265.2572115385;13
production;state_index;xgb;12;mae;1334439.9036458333;12
production;state_index;xgb;13;mae;1515192.6022727273;11
production;state_index;xgb;14;mae;1424805.171875;10
production;state_index;xgb;15;mae;1140659.0399305555;9
production;state_index;xgb;16;mae;1554693.8995535714;7
production;state_index;xgb;17;mae;1621258.7786458333;6
production;state_index;xgb;18;mae;2016888.2015625;5
production;state_index;xgb;19;mae;2183235.498046875;4
production;state_index;xgb;20;mae;1622238.03125;3
