dataset;method;cls;nr_events;metric;score;nr_cases
production_feature;state_index;xgb;1;mae;1767615.120138889;45
production_feature;state_index;xgb;2;mae;1751383.3627232143;42
production_feature;state_index;xgb;3;mae;1728792.1591282894;38
production_feature;state_index;xgb;4;mae;1756367.1631944445;36
production_feature;state_index;xgb;5;mae;1359284.84453125;30
production_feature;state_index;xgb;6;mae;1578780.5395833333;30
production_feature;state_index;xgb;7;mae;1442711.218532986;27
production_feature;state_index;xgb;8;mae;1535378.9921875;24
production_feature;state_index;xgb;9;mae;1405794.7205255681;22
production_feature;state_index;xgb;10;mae;1427391.0160361843;19
production_feature;state_index;xgb;11;mae;1583566.2977941176;17
production_feature;state_index;xgb;12;mae;1436244.311907087;14
production_feature;state_index;xgb;13;mae;1606916.016826923;13
production_feature;state_index;xgb;14;mae;1632829.8806818181;11
production_feature;state_index;xgb;15;mae;1356159.3203125;10
production_feature;state_index;xgb;16;mae;1492589.9635416667;9
production_feature;state_index;xgb;17;mae;1596441.849888393;7
production_feature;state_index;xgb;18;mae;2009402.5442708333;6
production_feature;state_index;xgb;19;mae;1854013.3229166667;6
production_feature;state_index;xgb;20;mae;1471011.0015625;5
