dataset;method;cls;nr_events;metric;score;nr_cases
production;state_laststate;xgb;1;mae;1372399.0027777778;45
production;state_laststate;xgb;2;mae;1299601.1763392857;42
production;state_laststate;xgb;3;mae;1419740.1628289474;38
production;state_laststate;xgb;4;mae;1334651.2785714285;35
production;state_laststate;xgb;5;mae;1238882.8512931035;29
production;state_laststate;xgb;6;mae;1295920.0848214286;28
production;state_laststate;xgb;7;mae;1223767.0954589844;24
production;state_laststate;xgb;8;mae;1265712.2379261365;22
production;state_laststate;xgb;9;mae;1358208.644325658;19
production;state_laststate;xgb;10;mae;1288530.80546875;15
production;state_laststate;xgb;11;mae;1481610.7241586538;13
production;state_laststate;xgb;12;mae;1257475.7298177083;12
production;state_laststate;xgb;13;mae;1523770.0681818181;11
production;state_laststate;xgb;14;mae;1689532.4671875;10
production;state_laststate;xgb;15;mae;1273797.484157986;9
production;state_laststate;xgb;16;mae;1766790.654017857;7
production;state_laststate;xgb;17;mae;2306633.0989583335;6
production;state_laststate;xgb;18;mae;2617919.68125;5
production;state_laststate;xgb;19;mae;3145787.2265625;4
production;state_laststate;xgb;20;mae;2834632.3333333335;3
