dataset;method;cls;nr_events;metric;score;nr_cases
production_feature;state_laststate;xgb;1;mae;1411476.8569444444;45
production_feature;state_laststate;xgb;2;mae;1358003.5944940476;42
production_feature;state_laststate;xgb;3;mae;1418523.8799342106;38
production_feature;state_laststate;xgb;4;mae;1443014.2864583333;36
production_feature;state_laststate;xgb;5;mae;1206826.515625;30
production_feature;state_laststate;xgb;6;mae;1280108.0296875;30
production_feature;state_laststate;xgb;7;mae;1214240.8414351852;27
production_feature;state_laststate;xgb;8;mae;1253006.1513671875;24
production_feature;state_laststate;xgb;9;mae;1241522.5523792615;22
production_feature;state_laststate;xgb;10;mae;1247466.2351973683;19
production_feature;state_laststate;xgb;11;mae;1467165.0487132352;17
production_feature;state_laststate;xgb;12;mae;1333054.7862723214;14
production_feature;state_laststate;xgb;13;mae;1530388.045673077;13
production_feature;state_laststate;xgb;14;mae;1521194.3238636365;11
production_feature;state_laststate;xgb;15;mae;1319208.853125;10
production_feature;state_laststate;xgb;16;mae;1619941.9621310765;9
production_feature;state_laststate;xgb;17;mae;2139505.578125;7
production_feature;state_laststate;xgb;18;mae;2490969.22265625;6
production_feature;state_laststate;xgb;19;mae;2434033.1640625;6
production_feature;state_laststate;xgb;20;mae;1936459.2875;5
